timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W)
10;h_5;4;6.2500;12.5000;10.0000;LFF;0.3338
10;h_4;5;3.1250;6.2500;5.0000;LFF;0.3336
10;h_3;6|7;0.7813;3.1250;4.0000;LFF;0.3334
10;h_2;3;1.5625;6.2500;6.0000;LFF;0.3335
10;h_1;1;0.7813;3.1250;2.0000;LFF;0.3334
10;h_0;2|0;0.7813;3.1250;2.5000;LFF;0.3334
20;h_5;4;6.2500;12.5000;10.0000;LFF;0.6676
20;h_4;5;3.1250;6.2500;5.0000;LFF;0.6671
20;h_3;6|7;0.7813;3.1250;4.0000;LFF;0.6668
20;h_2;3;1.5625;6.2500;6.0000;LFF;0.6670
20;h_1;1;0.7813;3.1250;2.0000;LFF;0.6668
20;h_0;2|0;0.7813;3.1250;2.5000;LFF;0.6668
30;h_5;4;6.2500;12.5000;10.0000;LFF;1.0014
30;h_4;5;3.1250;6.2500;5.0000;LFF;1.0007
30;h_3;6|7;0.7813;3.1250;4.0000;LFF;1.0003
30;h_2;3;1.5625;6.2500;6.0000;LFF;1.0005
30;h_1;1;0.7813;3.1250;2.0000;LFF;1.0002
30;h_0;2|0;0.7813;3.1250;2.5000;LFF;1.0003
40;h_5;4;6.2500;12.5000;10.0000;LFF;1.3352
40;h_4;5;3.1250;6.2500;5.0000;LFF;1.3343
40;h_3;6|7;0.7813;3.1250;4.0000;LFF;1.3337
40;h_2;3;1.5625;6.2500;6.0000;LFF;1.3340
40;h_1;1;0.7813;3.1250;2.0000;LFF;1.3337
40;h_0;2|0;0.7813;3.1250;2.5000;LFF;1.3337
50;h_5;4;6.2500;12.5000;10.0000;LFF;1.6690
50;h_4;5;3.1250;6.2500;5.0000;LFF;1.6678
50;h_3;6|7;0.7813;3.1250;4.0000;LFF;1.6671
50;h_2;3;1.5625;6.2500;6.0000;LFF;1.6675
50;h_1;1;0.7813;3.1250;2.0000;LFF;1.6671
50;h_0;2|0;0.7813;3.1250;2.5000;LFF;1.6671
60;h_5;4;6.2500;12.5000;10.0000;LFF;2.0028
60;h_4;5;3.1250;6.2500;5.0000;LFF;2.0014
60;h_3;6|7;0.7813;3.1250;4.0000;LFF;2.0005
60;h_2;3;1.5625;6.2500;6.0000;LFF;2.0010
60;h_1;1;0.7813;3.1250;2.0000;LFF;2.0005
60;h_0;2|0;0.7813;3.1250;2.5000;LFF;2.0005
70;h_5;4;6.2500;12.5000;10.0000;LFF;2.3366
70;h_4;5;3.1250;6.2500;5.0000;LFF;2.3350
70;h_3;6|7;0.7813;3.1250;4.0000;LFF;2.3339
70;h_2;3;1.5625;6.2500;6.0000;LFF;2.3345
70;h_1;1;0.7813;3.1250;2.0000;LFF;2.3339
70;h_0;2|0;0.7813;3.1250;2.5000;LFF;2.3339
80;h_5;4;6.2500;12.5000;10.0000;LFF;2.6704
80;h_4;5;3.1250;6.2500;5.0000;LFF;2.6685
80;h_3;6|7;0.7813;3.1250;4.0000;LFF;2.6674
80;h_2;3;1.5625;6.2500;6.0000;LFF;2.6680
80;h_1;1;0.7813;3.1250;2.0000;LFF;2.6673
80;h_0;2|0;0.7813;3.1250;2.5000;LFF;2.6673
90;h_5;4;6.2500;12.5000;10.0000;LFF;3.0042
90;h_4;5;3.1250;6.2500;5.0000;LFF;3.0021
90;h_3;6|7;0.7813;3.1250;4.0000;LFF;3.0008
90;h_2;3;1.5625;6.2500;6.0000;LFF;3.0015
90;h_1;1;0.7813;3.1250;2.0000;LFF;3.0007
90;h_0;2|0;0.7813;3.1250;2.5000;LFF;3.0008
100;h_5;4;6.2500;12.5000;10.0000;LFF;3.3380
100;h_4;5;3.1250;6.2500;5.0000;LFF;3.3357
100;h_3;6|7;0.7813;3.1250;4.0000;LFF;3.3342
100;h_2;3;1.5625;6.2500;6.0000;LFF;3.3350
100;h_1;1;0.7813;3.1250;2.0000;LFF;3.3342
100;h_0;2|0;0.7813;3.1250;2.5000;LFF;3.3342
110;h_5;4;6.2500;12.5000;10.0000;LFF;3.6718
110;h_4;5;3.1250;6.2500;5.0000;LFF;3.6692
110;h_3;6|7;0.7813;3.1250;4.0000;LFF;3.6676
110;h_2;3;1.5625;6.2500;6.0000;LFF;3.6685
110;h_1;1;0.7813;3.1250;2.0000;LFF;3.6676
110;h_0;2|0;0.7813;3.1250;2.5000;LFF;3.6676
120;h_5;4;6.2500;12.5000;10.0000;LFF;4.0056
120;h_4;5;3.1250;6.2500;5.0000;LFF;4.0028
120;h_3;6|7;0.7813;3.1250;4.0000;LFF;4.0011
120;h_2;3;1.5625;6.2500;6.0000;LFF;4.0020
120;h_1;1;0.7813;3.1250;2.0000;LFF;4.0010
120;h_0;2|0;0.7813;3.1250;2.5000;LFF;4.0010
130;h_5;4;6.2500;12.5000;10.0000;LFF;4.3394
130;h_4;5;3.1250;6.2500;5.0000;LFF;4.3364
130;h_3;6|7;0.7813;3.1250;4.0000;LFF;4.3345
130;h_2;3;1.5625;6.2500;6.0000;LFF;4.3355
130;h_1;1;0.7813;3.1250;2.0000;LFF;4.3344
130;h_0;2|0;0.7813;3.1250;2.5000;LFF;4.3344
140;h_5;4;6.2500;12.5000;10.0000;LFF;4.6732
140;h_4;5;3.1250;6.2500;5.0000;LFF;4.6699
